date,stock_id,buy,name,sell
2024-07-09,2883,23894400,Foreign_Investor,18422000
2024-07-09,2883,0,Foreign_Dealer_Self,0
2024-07-09,2883,768000,Investment_Trust,10806
2024-07-09,2883,109422,Dealer_self,12799
2024-07-09,2883,336312,Dealer_Hedging,1146000
2024-07-10,2883,51558449,Foreign_Investor,25599645
2024-07-10,2883,0,Foreign_Dealer_Self,0
2024-07-10,2883,223000,Investment_Trust,0
2024-07-10,2883,889988,Dealer_self,434000
2024-07-10,2883,4552755,Dealer_Hedging,500000
2024-07-11,2883,47836050,Foreign_Investor,30174001
2024-07-11,2883,0,Foreign_Dealer_Self,0
2024-07-11,2883,325000,Investment_Trust,0
2024-07-11,2883,234000,Dealer_self,369000
2024-07-11,2883,1950264,Dealer_Hedging,1232000
2024-07-12,2883,31605600,Foreign_Investor,26641000
2024-07-12,2883,0,Foreign_Dealer_Self,0
2024-07-12,2883,200000,Investment_Trust,0
2024-07-12,2883,33000,Dealer_self,68000
2024-07-12,2883,387106,Dealer_Hedging,3118000
2024-07-15,2883,19370000,Foreign_Investor,29219031
2024-07-15,2883,0,Foreign_Dealer_Self,0
2024-07-15,2883,17000,Investment_Trust,2000
2024-07-15,2883,127000,Dealer_self,332389
2024-07-15,2883,500000,Dealer_Hedging,1122115
2024-07-16,2883,21445000,Foreign_Investor,14449225
2024-07-16,2883,0,Foreign_Dealer_Self,0
2024-07-16,2883,979000,Investment_Trust,24000
2024-07-16,2883,32000,Dealer_self,8000
2024-07-16,2883,554000,Dealer_Hedging,4417812
2024-07-17,2883,27124000,Foreign_Investor,25070742
2024-07-17,2883,0,Foreign_Dealer_Self,0
2024-07-17,2883,767000,Investment_Trust,1000
2024-07-17,2883,112000,Dealer_self,1185000
2024-07-17,2883,500000,Dealer_Hedging,1006000
2024-07-18,2883,31466426,Foreign_Investor,16572050
2024-07-18,2883,0,Foreign_Dealer_Self,0
2024-07-18,2883,439000,Investment_Trust,0
2024-07-18,2883,32000,Dealer_self,104000
2024-07-18,2883,416000,Dealer_Hedging,539000
2024-07-19,2883,20820957,Foreign_Investor,35454000
2024-07-19,2883,0,Foreign_Dealer_Self,0
2024-07-19,2883,3261000,Investment_Trust,1594000
