date,stock_id,foreign_shares,foreign_shares_lot,foreign_ratio,issued_shares
2024-07-26,3006,43898103,43898.103,15.33,286172238
2024-07-29,3006,43768134,43768.134,15.29,286172238
2024-07-30,3006,43136542,43136.542,15.07,286172238
2024-07-31,3006,42856542,42856.542,14.97,286172238
2024-08-01,3006,43263542,43263.542,15.11,286172238
2024-08-02,3006,41896542,41896.542,14.64,286172238
2024-08-05,3006,40925542,40925.542,14.3,286172238
2024-08-06,3006,41778542,41778.542,14.59,286172238
2024-08-07,3006,41608542,41608.542,14.53,286172238
2024-08-08,3006,41315542,41315.542,14.43,286172238
2024-08-09,3006,41913856,41913.856,14.64,286172238
2024-08-12,3006,42203856,42203.856,14.74,286172238
2024-08-13,3006,42448267,42448.267,14.83,286172238
2024-08-14,3006,42306267,42306.267,14.78,286172238
2024-08-15,3006,42648267,42648.267,14.9,286172238
2024-08-16,3006,42919267,42919.267,14.99,286172238
2024-08-19,3006,42842267,42842.267,14.97,286172238
2024-08-20,3006,42806267,42806.267,14.95,286172238
2024-08-21,3006,43080277,43080.277,15.05,286172238
2024-08-22,3006,43169277,43169.277,15.08,286172238
2024-08-23,3006,43077287,43077.287,15.05,286172238
2024-08-26,3006,42819287,42819.287,14.96,286172238
2024-08-27,3006,42617287,42617.287,14.89,286172238
2024-08-28,3006,42477287,42477.287,14.84,286172238
2024-08-29,3006,42395287,42395.287,14.81,286172238
2024-08-30,3006,42368287,42368.287,14.8,286172238
2024-09-02,3006,41770287,41770.287,14.59,286172238
2024-09-03,3006,41411292,41411.292,14.47,286172238
2024-09-04,3006,40797811,40797.811,14.25,286172238
2024-09-05,3006,40847811,40847.811,14.27,286172238
2024-09-06,3006,40661811,40661.811,14.2,286172238
2024-09-09,3006,40798044,40798.044,14.25,286172238
2024-09-10,3006,40328044,40328.044,14.09,286172238
2024-09-11,3006,40205044,40205.044,14.04,286172238
2024-09-12,3006,40138044,40138.044,14.02,286172238
2024-09-13,3006,40345044,40345.044,14.09,286172238
2024-09-16,3006,40429044,40429.044,14.12,286172238
2024-09-18,3006,39748049,39748.049,13.88,286172238
2024-09-19,3006,39990049,39990.049,13.97,286172238
2024-09-20,3006,39940899,39940.899,13.95,286172238
2024-09-23,3006,39978899,39978.899,13.97,286172238
2024-09-24,3006,39254899,39254.899,13.71,286172238
2024-09-25,3006,39792899,39792.899,13.9,286172238
2024-09-26,3006,37912899,37912.899,13.24,286172238
2024-09-27,3006,38180899,38180.899,13.34,286172238
2024-09-30,3006,38541831,38541.831,13.46,286172238
2024-10-01,3006,38528831,38528.831,13.46,286172238
2024-10-04,3006,38625831,38625.831,13.49,286172238
2024-10-07,3006,38072831,38072.831,13.3,286172238
2024-10-08,3006,38360831,38360.831,13.4,286172238
2024-10-09,3006,38022831,38022.831,13.28,286172238
2024-10-11,3006,38070326,38070.326,13.3,286172238
2024-10-14,3006,38295326,38295.326,13.38,286172238
2024-10-15,3006,38020326,38020.326,13.28,286172238
2024-10-16,3006,37155326,37155.326,12.98,286172238
2024-10-17,3006,37454326,37454.326,13.08,286172238
2024-10-18,3006,36917336,36917.336,12.9,286172238
2024-10-21,3006,37279336,37279.336,13.02,286172238
2024-10-22,3006,37369336,37369.336,13.05,286172238
2024-10-23,3006,37468336,37468.336,13.09,286172238
2024-10-24,3006,37253336,37253.336,13.01,286172238
2024-10-25,3006,37264336,37264.336,13.02,286172238
2024-10-28,3006,37247336,37247.336,13.01,286172238
2024-10-29,3006,36597336,36597.336,12.78,286172238
