date,stock_id,HoldingSharesLevel,people,percent,unit
2025-12-19,8102,"1,000-5,000",187,1.63,381800
2025-12-19,8102,1-999,141,0.06,14977
2025-12-19,8102,"10,001-15,000",27,1.46,342381
2025-12-19,8102,"100,001-200,000",20,13.27,3099681
2025-12-19,8102,"15,001-20,000",21,1.65,387183
2025-12-19,8102,"20,001-30,000",18,2.0,467375
2025-12-19,8102,"200,001-400,000",16,17.86,4172088
2025-12-19,8102,"30,001-40,000",16,2.25,527152
2025-12-19,8102,"40,001-50,000",6,1.21,284749
2025-12-19,8102,"400,001-600,000",4,8.12,1898625
2025-12-19,8102,"5,001-10,000",46,1.52,355371
2025-12-19,8102,"50,001-100,000",20,6.37,1488085
2025-12-19,8102,"600,001-800,000",2,6.32,1476439
2025-12-19,8102,"800,001-1,000,000",0,0.0,0
2025-12-19,8102,"more than 1,000,001",5,36.22,8462444
2025-12-19,8102,total,529,100.0,23358350
2025-12-19,8102,差異數調整（說明4）,0,0.0,0
2025-12-26,8102,"1,000-5,000",614,4.31,1006804
2025-12-26,8102,1-999,164,0.06,16060
2025-12-26,8102,"10,001-15,000",27,1.45,339465
2025-12-26,8102,"100,001-200,000",24,16.04,3746681
2025-12-26,8102,"15,001-20,000",27,2.1,491232
2025-12-26,8102,"20,001-30,000",26,2.93,685877
2025-12-26,8102,"200,001-400,000",16,17.96,4197088
2025-12-26,8102,"30,001-40,000",16,2.24,524317
2025-12-26,8102,"40,001-50,000",6,1.16,271684
2025-12-26,8102,"400,001-600,000",4,8.12,1898625
2025-12-26,8102,"5,001-10,000",67,2.31,541828
2025-12-26,8102,"50,001-100,000",25,7.87,1838399
2025-12-26,8102,"600,001-800,000",2,6.35,1483439
2025-12-26,8102,"800,001-1,000,000",0,0.0,0
2025-12-26,8102,"more than 1,000,001",4,27.04,6316851
2025-12-26,8102,total,1022,100.0,23358350
2025-12-26,8102,差異數調整（說明4）,0,0.0,0
2026-01-02,8102,"1,000-5,000",593,4.26,996414
2026-01-02,8102,1-999,170,0.07,18150
2026-01-02,8102,"10,001-15,000",28,1.51,354465
2026-01-02,8102,"100,001-200,000",24,16.04,3748681
2026-01-02,8102,"15,001-20,000",24,1.86,435232
2026-01-02,8102,"20,001-30,000",28,3.14,734942
2026-01-02,8102,"200,001-400,000",16,17.97,4198088
2026-01-02,8102,"30,001-40,000",15,2.08,487552
2026-01-02,8102,"40,001-50,000",8,1.56,365684
2026-01-02,8102,"400,001-600,000",4,8.12,1898625
2026-01-02,8102,"5,001-10,000",67,2.28,532952
2026-01-02,8102,"50,001-100,000",24,7.65,1787275
2026-01-02,8102,"600,001-800,000",2,6.35,1483439
2026-01-02,8102,"800,001-1,000,000",0,0.0,0
2026-01-02,8102,"more than 1,000,001",4,27.04,6316851
2026-01-02,8102,total,1007,100.0,23358350
2026-01-02,8102,差異數調整（說明4）,0,0.0,0
2026-01-09,8102,"1,000-5,000",543,3.99,934133
2026-01-09,8102,1-999,213,0.09,22346
2026-01-09,8102,"10,001-15,000",27,1.43,335631
2026-01-09,8102,"100,001-200,000",24,16.06,3753681
2026-01-09,8102,"15,001-20,000",25,1.95,456232
2026-01-09,8102,"20,001-30,000",29,3.27,765942
2026-01-09,8102,"200,001-400,000",16,17.97,4199088
2026-01-09,8102,"30,001-40,000",13,1.8,420638
2026-01-09,8102,"40,001-50,000",8,1.59,371684
2026-01-09,8102,"400,001-600,000",4,8.12,1898625
2026-01-09,8102,"5,001-10,000",61,2.11,494785
2026-01-09,8102,"50,001-100,000",26,8.15,1905275
2026-01-09,8102,"600,001-800,000",2,6.35,1483439
2026-01-09,8102,"800,001-1,000,000",0,0.0,0
2026-01-09,8102,"more than 1,000,001",4,27.04,6316851
2026-01-09,8102,total,995,100.0,23358350
2026-01-09,8102,差異數調整（說明4）,0,0.0,0
2026-01-16,8102,"1,000-5,000",511,3.75,877469
2026-01-16,8102,1-999,215,0.09,22010
2026-01-16,8102,"10,001-15,000",28,1.49,348695
2026-01-16,8102,"100,001-200,000",24,16.1,3762681
2026-01-16,8102,"15,001-20,000",25,1.94,455163
2026-01-16,8102,"20,001-30,000",30,3.39,792011
2026-01-16,8102,"200,001-400,000",16,17.97,4199088
2026-01-16,8102,"30,001-40,000",13,1.8,420638
2026-01-16,8102,"40,001-50,000",8,1.59,371684
2026-01-16,8102,"400,001-600,000",4,8.12,1898625
2026-01-16,8102,"5,001-10,000",66,2.26,528785
2026-01-16,8102,"50,001-100,000",26,8.16,1907275
