date,stock_id,margin_balance,margin_buy,margin_sell,short_balance,short_buy,short_sell
2025-11-27,3131,0,0,0,0,0,0
2025-11-28,3131,46,46,0,0,0,0
2025-12-01,3131,100,78,24,0,0,0
2025-12-02,3131,163,66,3,2,2,0
2025-12-03,3131,154,3,12,2,0,0
2025-12-04,3131,175,38,17,1,1,2
2025-12-05,3131,194,26,7,1,0,0
2025-12-08,3131,207,66,53,1,0,0
2025-12-09,3131,275,117,49,1,0,0
2025-12-10,3131,243,59,90,1,0,0
2025-12-11,3131,290,78,31,1,0,0
2025-12-12,3131,277,36,48,1,0,0
2025-12-15,3131,307,38,8,1,0,0
2025-12-16,3131,292,18,33,1,0,0
2025-12-17,3131,293,34,33,1,0,0
2025-12-18,3131,294,7,6,2,1,0
2025-12-19,3131,288,3,9,2,0,0
2025-12-22,3131,291,13,10,2,0,0
2025-12-23,3131,326,108,73,2,1,1
2025-12-24,3131,373,65,18,2,0,0
2025-12-26,3131,447,116,42,4,2,0
2025-12-29,3131,491,65,21,2,1,3
2025-12-30,3131,485,28,34,2,0,0
2025-12-31,3131,478,43,50,1,0,1
2026-01-02,3131,574,141,45,1,0,0
2026-01-05,3131,790,310,94,15,14,0
2026-01-06,3131,673,118,235,12,0,3
2026-01-07,3131,628,69,114,12,1,0
2026-01-08,3131,642,184,170,13,2,1
2026-01-09,3131,658,68,52,12,0,1
2026-01-12,3131,734,128,52,13,1,0
2026-01-13,3131,750,90,74,8,0,5
2026-01-14,3131,924,222,48,9,1,0
2026-01-15,3131,962,99,61,10,2,1
2026-01-16,3131,876,172,258,8,0,2
2026-01-19,3131,808,34,102,9,2,1
2026-01-20,3131,767,14,55,7,0,2
2026-01-21,3131,756,23,33,5,0,2
2026-01-22,3131,762,44,38,6,1,0
2026-01-23,3131,730,13,45,5,0,1
2026-01-26,3131,692,26,64,5,0,0
2026-01-27,3131,657,62,97,5,0,0
2026-01-28,3131,623,73,107,5,0,0
2026-01-29,3131,665,104,62,5,0,0
2026-01-30,3131,542,48,171,3,0,2
2026-02-02,3131,456,17,103,3,0,0
2026-02-03,3131,427,21,50,2,0,1
2026-02-04,3131,417,16,26,1,0,1
2026-02-05,3131,365,27,79,1,0,0
2026-02-06,3131,361,10,14,2,1,0
2026-02-09,3131,362,27,26,1,0,1
2026-02-10,3131,356,16,21,0,0,1
2026-02-11,3131,339,8,25,0,0,0
2026-02-23,3131,359,40,19,0,0,0
2026-02-24,3131,348,23,34,0,0,0
2026-02-25,3131,361,42,29,5,5,0
2026-02-26,3131,320,48,89,3,1,3
2026-03-02,3131,309,30,41,5,2,0
2026-03-03,3131,312,48,45,5,0,0
2026-03-04,3131,320,39,31,0,0,5
2026-03-05,3131,409,156,67,0,0,0
2026-03-06,3131,401,64,71,1,1,0
2026-03-09,3131,390,31,42,0,0,1
2026-03-10,3131,360,26,54,0,0,0
2026-03-11,3131,328,102,134,3,3,0
2026-03-12,3131,332,48,44,3,0,0
2026-03-13,3131,328,42,46,3,0,0
2026-03-16,3131,442,152,38,3,0,0
2026-03-17,3131,419,90,113,5,2,0
2026-03-18,3131,425,90,84,3,0,2
2026-03-19,3131,441,58,42,3,0,0
2026-03-20,3131,482,126,85,3,0,0
2026-03-23,3131,496,67,53,12,9,0
2026-03-24,3131,488,112,120,16,5,1
2026-03-25,3131,555,129,62,24,9,1
2026-03-26,3131,584,166,136,23,4,5
2026-03-27,3131,604,85,65,25,5,0
2026-03-30,3131,597,64,71,29,6,0
2026-03-31,3131,579,84,102,47,25,5
2026-04-01,3131,596,78,61,77,31,0
2026-04-02,3131,565,44,75,98,24,0
2026-04-07,3131,575,63,53,105,9,1
2026-04-08,3131,592,55,38,103,0,0
2026-04-09,3131,579,45,62,49,1,1
2026-04-10,3131,536,102,145,8,0,10
2026-04-13,3131,567,111,80,0,0,0
2026-04-14,3131,554,105,118,0,0,0
2026-04-15,3131,501,48,99,0,0,0
2026-04-16,3131,475,59,85,2,2,0
2026-04-17,3131,443,17,48,3,1,0
2026-04-20,3131,443,46,46,5,2,0
2026-04-21,3131,428,25,40,7,3,1
2026-04-22,3131,432,69,65,14,9,2
2026-04-23,3131,433,99,96,14,1,1
2026-04-24,3131,428,27,32,16,4,0
2026-04-27,3131,352,63,136,19,6,1
2026-04-28,3131,389,46,8,11,0,0
2026-04-29,3131,384,11,16,10,1,2
2026-04-30,3131,382,49,51,15,5,0
2026-05-04,3131,381,34,35,13,2,0
2026-05-05,3131,394,43,30,11,0,2
2026-05-06,3131,335,46,105,18,7,0
2026-05-07,3131,356,49,28,18,1,1
2026-05-08,3131,347,30,25,15,0,3
2026-05-11,3131,324,8,31,15,0,0
2026-05-12,3131,321,27,29,12,0,0
2026-05-13,3131,319,10,12,11,0,1
2026-05-14,3131,328,21,12,11,0,0
2026-05-15,3131,320,13,21,10,0,0
2026-05-18,3131,318,4,6,10,0,0
2026-05-19,3131,313,19,23,9,0,1
2026-05-20,3131,315,10,7,9,0,0
2026-05-21,3131,315,7,7,9,0,0
2026-05-22,3131,319,16,12,9,0,0
2026-05-25,3131,323,19,14,9,0,0
2026-05-26,3131,364,85,44,11,2,0
2026-05-27,3131,392,90,62,12,1,0
2026-05-28,3131,264,75,203,21,9,0
2026-05-29,3131,249,63,78,26,5,0
2026-06-01,3131,263,46,32,24,0,2
2026-06-02,3131,273,32,22,23,1,0
2026-06-03,3131,259,31,44,21,0,0
2026-06-04,3131,252,13,20,19,0,0
2026-06-05,3131,253,4,3,18,0,1
2026-06-08,3131,245,7,15,19,3,1
2026-06-09,3131,243,5,7,19,1,0
2026-06-10,3131,229,5,19,18,0,1
2026-06-11,3131,231,8,6,18,0,0
2026-06-12,3131,230,25,25,19,1,0
2026-06-15,3131,251,26,5,19,0,0
2026-06-16,3131,238,8,21,19,0,0
2026-06-17,3131,256,25,7,19,0,0
2026-06-18,3131,245,58,71,19,0,0
2026-06-22,3131,227,27,45,19,0,0
2026-06-23,3131,210,16,33,19,0,0
2026-06-24,3131,213,21,18,19,0,0
2026-06-25,3131,207,8,14,19,0,0
