date,open,high,low,close,volume
2025-03-03,20.2,20.2,19.7,19.7,9007.0
2025-03-04,19.65,19.65,19.5,19.6,5065.0
2025-03-10,19.35,19.4,19.35,19.35,5018.0
2025-03-11,19.3,19.3,19.3,19.3,2185.0
2025-03-14,19.4,19.4,19.3,19.4,3525.0
2025-03-17,19.15,19.15,18.9,18.9,21509.0
2025-03-18,19.1,19.25,19.1,19.15,10920.0
2026-05-07,20.7,20.7,19.9,20.5,309983.0
2026-05-08,21.0,22.55,21.0,22.55,1037456.0
2026-05-11,23.0,24.8,23.0,24.8,1447307.0
2026-05-12,24.6,24.6,23.45,23.9,1007399.0
2026-05-13,23.4,26.25,23.3,26.25,2049361.0
2026-05-14,27.0,28.85,24.25,24.35,3130298.0
2026-05-15,24.55,25.4,23.45,23.45,1084735.0
2026-05-18,23.45,24.1,22.8,23.35,443527.0
2026-05-19,23.35,23.75,21.5,22.4,548233.0
2026-05-20,22.25,23.4,22.2,23.2,249373.0
2026-05-21,23.95,25.5,23.5,24.7,850149.0
2026-05-22,25.15,26.6,24.4,25.2,941470.0
2026-05-25,26.9,27.65,26.0,27.05,1051276.0
2026-05-26,27.05,27.5,25.5,25.85,627675.0
2026-05-27,26.15,28.1,26.15,27.05,745375.0
2026-05-28,26.65,28.8,26.65,27.0,1458150.0
2026-05-29,27.55,28.0,26.6,27.0,727401.0
2026-06-01,27.0,27.95,26.35,26.55,852393.0
2026-06-02,26.6,26.6,25.65,26.6,504968.0
2026-06-03,26.9,27.8,26.65,27.2,473989.0
2026-06-04,27.25,27.45,26.45,26.45,338348.0
2026-06-05,26.8,28.5,25.8,27.3,1399926.0
2026-06-08,25.4,25.65,24.65,25.3,403422.0
2026-06-09,25.8,27.7,25.65,27.1,603265.0
2026-06-10,27.0,28.55,26.9,27.05,1096886.0
2026-06-11,27.05,29.75,27.05,29.75,4599459.0
2026-06-12,29.2,29.65,27.5,27.6,2532106.0
2026-06-15,28.05,30.35,28.05,30.35,2913457.0
2026-06-16,32.0,33.35,30.15,31.8,5902231.0
2026-06-17,31.5,33.7,30.4,32.6,3995922.0
2026-06-18,32.5,35.85,32.5,35.85,3647531.0
2026-06-22,37.15,39.4,37.1,39.35,4232391.0
